/home/admin/Downloads/ OPEN,ISDIR 
/home/admin/Downloads/ ACCESS,ISDIR 
/home/admin/Downloads/ ACCESS,ISDIR 
/home/admin/Downloads/ CLOSE_NOWRITE,CLOSE,ISDIR 
/home/admin/Downloads/ CREATE raprt_11_11_2021.tar.gz
/home/admin/Downloads/ OPEN raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
/home/admin/Downloads/ MODIFY raprt_11_11_2021.tar.gz
